Soma de casos_dengue,Nome
2615,IBIAPABA
2577,ALTO PARAGUAI
2575,MÉDIO JAGUARIBE
2567,ITAJUBÁ
2550,ALTO ARAGUAIA
2540,BAIXADA MARANHENSE
2534,VÁRZEA ALEGRE
2524,ALTO MÉDIO GURGUÉIA
2503,JURUÁ
2389,GUANHÃES
2369,LITORAL NORTE
2367,LITORAL OCIDENTAL MARANHENSE
2328,PIO IX
2311,URUBURETAMA
2307,SANTA RITA DO SAPUCAÍ
2283,PEÇANHA
2279,CARIRIAÇU
2266,UMBUZEIRO
2228,SANTA TERESA
2227,POÇOS DE CALDAS
2185,BAIXO PARNAÍBA MARANHENSE
2174,IVAIPORÃ
2100,ARARI
2061,PARINTINS
2050,CONCEIÇÃO DO MATO DENTRO
1988,LENÇÓIS MARANHENSES
1977,AGRESTE DE LAGARTO
1973,ROSÁRIO OESTE
1714,CHAPADAS DO EXTREMO SUL PIAUIENSE
1714,GRÃO MOGOL
1681,MAZAGÃO
1674,NORDESTE DE RORAIMA
1613,ENTRE RIOS
1528,FAXINAL
1505,POUSO ALEGRE
1480,CODÓ
1449,NOSSA SENHORA DAS DORES
1448,PURUS
1315,MERUOCA
1282,COELHO NETO
1282,ITAPETININGA
1206,ALTO PARNAÍBA PIAUIENSE
1142,CHAPADAS DAS MANGABEIRAS
1138,FERNANDO DE NORONHA
1090,BERTOLÍNIA
1029,FLORIANÓPOLIS
1003,ITAPEVA
993,SANTO ÂNGELO
985,BANANAL
985,PORTEL
969,GUARAPUAVA
921,SANTA ROSA
912,FREDERICO WESTPHALEN
880,AVARÉ
845,JAPARATUBA
821,PIEDADE
803,BOCA DO ACRE
768,TRAIPU
722,COTINGUIBA
698,PARAIBUNA/PARAITINGA
613,SANTA MARIA MADALENA
595,FUROS DE BREVES
544,CARAZINHO
528,WENCESLAU BRAZ
440,JOINVILLE
426,RIO PRETO DA EVA
412,SÃO MIGUEL DO OESTE
397,CAPÃO BONITO
381,CERRO LARGO
377,TRÊS PASSOS
376,BLUMENAU
338,PATO BRANCO
301,ALMEIRIM
277,ANDRELÂNDIA
274,CAXIAS DO SUL
237,XANXERÊ
233,AMAPÁ
216,PASSO FUNDO
208,TUBARÃO
199,PONTA GROSSA
198,TELÊMACO BORBA
195,CAMPOS DO JORDÃO
184,PRUDENTÓPOLIS
133,SANTA CRUZ DO SUL
126,NÃO-ME-TOQUE
123,CRICIÚMA
123,GRAMADO-CANELA
116,ERECHIM
112,CONCÓRDIA
106,OSÓRIO
98,CANOINHAS
96,JAPURÁ
93,LITORAL LAGUNAR
86,JOAÇABA
85,LAJEADO-ESTRELA
81,IBAITI
79,CRUZ ALTA
79,MONTENEGRO
73,JAGUARIAÍVA
73,SANTA MARIA
70,PELOTAS
64,ARARANGUÁ
63,CAMPANHA OCIDENTAL
63,TIJUCAS
59,CAMPOS DE LAGES
53,RIO DO SUL
49,UNIÃO DA VITÓRIA
47,PITANGA
43,IRATI
43,SÃO MATEUS DO SUL
38,CERRO AZUL
37,SÃO JERÔNIMO
33,CURITIBANOS
33,GUAPORÉ
33,VACARIA
31,SANTIAGO
28,CAMAQUÃ
27,SÃO BENTO DO SUL
25,PALMAS
24,CAMPANHA MERIDIONAL
24,LAPA
23,CACHOEIRA DO SUL
21,CAMPANHA CENTRAL
19,ITUPORANGA
18,SANANDUVA
17,SOLEDADE
13,SERRAS DE SUDESTE
13,TABULEIRO
12,RESTINGA SECA
5,JAGUARÃO
